index,critical_temp
0,44.93698903933825
1,24.30544601987536
2,72.60032879569232
3,66.22002453781133
4,70.7809747483681
5,75.46906850249016
6,66.55676814615035
7,55.13549595431359
8,58.13948646773134
9,68.54829729500631
10,24.72857547106078
11,21.399898312864416
12,66.82078800524042
13,66.81922735649312
14,70.09170679301101
15,70.09170679301101
16,70.09170679301101
17,70.09170679301101
18,73.47605018263727
19,52.07641819689429
20,49.42407193028668
21,67.53290365824822
22,19.536630466251523
23,69.53355322826556
24,70.51772937359382
25,72.47107091147961
26,24.72857547106078
27,66.8130235906435
28,82.35772172393092
29,82.65936264867
30,28.112025779471118
31,95.2106259758693
32,97.36661815428897
33,79.88221453220854
34,93.5467693272112
35,70.64794583007702
36,66.97037912398113
37,66.75952570539269
38,69.83076349131807
39,64.78486946841943
40,74.16611546124324
41,73.3428451298166
42,23.778310296370236
43,84.27067605102832
44,70.09170679301101
45,84.27067605102832
46,54.13091656518001
47,71.03300259411142
48,71.30238066381929
49,75.0552921890363
50,74.98572553202186
51,71.514737413613
52,67.45630708738557
53,64.04553291952169
54,66.81922735649312
55,80.85369408196857
56,80.0860465181544
57,79.5549144659636
58,42.47704041397645
59,44.231653141874766
60,70.32449756677735
61,79.88221453220854
62,70.30318158891177
63,73.46282912670449
64,75.68386323426355
65,70.29213081507149
66,72.69130787263367
67,67.54614457465215
68,71.87437635499984
69,79.88221453220854
70,82.82398548902057
71,64.4587636957844
72,71.49761618213168
73,66.05051617357339
74,24.72857547106078
75,80.51194538829503
76,37.245804353667296
77,34.273568528786186
78,70.21822467461487
79,66.99721549803726
80,66.39304455700776
81,69.01222453365668
82,65.30379882076528
83,24.71733611124681
84,64.80021268525357
85,27.489479093575383
86,70.51772937359382
87,53.15722997649463
88,71.24790816401378
89,71.27057266459116
90,71.64209260341474
91,69.66853254728699
92,69.59378061626481
93,78.9021837460005
94,73.61007784728343
95,73.80016211168345
96,51.78624581037629
97,23.197208153110452
98,66.26694505324926
99,62.576500516370594
100,59.63613544498765
101,66.58105067581334
102,66.5679605474636
103,80.11635300043503
104,77.79568341608149
105,80.64468297201611
106,74.18270472872149
107,77.54549816220373
108,63.70067935859492
109,72.72413054727741
110,72.3007589473388
111,72.01892523842244
112,71.43912086380396
113,58.69106786511809
114,64.81381585810362
115,64.1703732934927
116,64.81381585810362
117,71.57515579778135
118,61.93361732899991
119,60.666814086364774
120,71.40059083574124
121,71.22231105132389
122,70.96908593394781
123,63.96872559896462
124,57.77278458509553
125,70.09170679301101
126,66.20918408152875
127,64.0473749705144
128,97.36661815428897
129,26.856978524908484
130,65.82537608960178
131,71.49761618213168
132,74.21469365159655
133,85.03798683713009
134,80.12709227036609
135,66.75009933845988
136,78.91899444003994
137,44.706659873771805
138,67.45630708738557
139,64.04553291952169
140,70.56101040172004
141,71.11259021902384
142,19.282597146030025
143,19.915629874109936
144,70.32449756677735
145,66.8130235906435
146,62.61374535204643
147,62.299375213929686
148,76.31625283574257
149,62.47938115743438
150,82.68306105933826
151,78.249427507023
152,77.21207414017087
153,72.02222393906001
154,73.95544886865935
155,70.09170679301101
